Date : 2020-04-15 13:44:24
Directory : c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina
Total : 93 files,  2722 codes, 54 comments, 61 blanks, all 2837 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         44 |      1,535 |         44 |          0 |      1,579 |
| TypeScript |         43 |      1,054 |         10 |         59 |      1,123 |
| JSON       |          5 |        132 |          0 |          2 |        134 |
| Markdown   |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         93 |      2,722 |         54 |         61 |      2,837 |
| dist                                                                                     |         47 |      1,626 |         44 |          0 |      1,670 |
| dist\commands                                                                            |         30 |      1,187 |         30 |          0 |      1,217 |
| dist\commands\administration                                                             |          2 |         60 |          2 |          0 |         62 |
| dist\commands\configuration                                                              |          2 |        211 |          2 |          0 |        213 |
| dist\commands\core                                                                       |          2 |         80 |          2 |          0 |         82 |
| dist\commands\developer                                                                  |          3 |        123 |          3 |          0 |        126 |
| dist\commands\economy                                                                    |          4 |        198 |          4 |          0 |        202 |
| dist\commands\fun                                                                        |          3 |         72 |          3 |          0 |         75 |
| dist\commands\interaction                                                                |          4 |        100 |          4 |          0 |        104 |
| dist\commands\moderation                                                                 |          2 |        138 |          2 |          0 |        140 |
| dist\commands\profile                                                                    |          2 |         78 |          2 |          0 |         80 |
| dist\commands\tamagotchi                                                                 |          4 |         45 |          4 |          0 |         49 |
| dist\commands\utilties                                                                   |          2 |         82 |          2 |          0 |         84 |
| dist\events                                                                              |          8 |        207 |          8 |          0 |        215 |
| dist\hina                                                                                |          2 |         43 |          2 |          0 |         45 |
| dist\language                                                                            |          2 |         81 |          0 |          0 |         81 |
| dist\utils                                                                               |          2 |         40 |          2 |          0 |         42 |
| src                                                                                      |         43 |      1,054 |         10 |         59 |      1,123 |
| src\commands                                                                             |         30 |        822 |          3 |         37 |        862 |
| src\commands\administration                                                              |          2 |         34 |          0 |          0 |         34 |
